EVTDESC13000_NEWS_LONG;「西洋文明の风、东に漸し、到る处、草も木もこの风になびかざるはなし」$COUNTRY$の沿岸では、たびたび奇妙な船が目击されている。それらの船は、神の颜に触れられるのではないかと思えるぐらい、高いマストを备えている。最初は灭多に目击されることはなかったが、今ではたびたび目击されるようになり、珍しいものではなくなっている。これは、风が岚へと变化するようなものなのではないのか？将来は、どうなっていくのか？彼らの船は奇妙であり、彼らの文化风习は、さらに奇妙だ。しかし、『よ艹ろっぱ』なる地域からやってきた彼らと、いかに向き合うべきなのか、そろそろ方针を决めなければならない时期にさしかかっていることは、间违いないだろう。;Once the wind of Western civilization blows to the East, every blade of grass and every tree in the East follow what the Western wind brings. Off the coastlines of $COUNTRY$, strange ships have begun appearing. Strange ships, with masts so tall as to seem to touch the face of God. At first a curiosity, soon every so often -- increasing in intensity as gale grows to storm -- and tomorrow? Strange are those ships, and stranger still the customs they bring, but there can be no doubt that a policy must be adopted with regards to the foreigners from 'Europe'.;;;;;;;;;;;;x;
EVTDESC13000_NEWS_MEDIUM;;$COUNTRY$の沿岸では、たびたび奇妙な船が目击されている。彼らの船は奇妙であり、彼らの文化风习は、さらに奇妙だ。しかし、『よ艹ろっぱ』なる地域からやってきた彼らと、いかに向き合うべきなのか、そろそろ方针を决めなければならない时期にさしかかっていることは、间违いないだろう。;Off the coastlines of $COUNTRY$, strange ships have begun appearing. Strange are those ships, and stranger the customs they bring, but there can be no doubt that a policy must be adopted with regards to the foreigners from 'Europe'.;;;;;;;;;;;;x;
EVTDESC13000_NEWS_SHORT;彼らの船は奇妙であり、彼らの文化风习は、さらに奇妙だが、but there can be no doubt that a policy must be adopted in $COUNTRY$『よ艹ろっぱ』なる地域からやってきた彼らと、いかに向き合うべきなのか、$COUNTRY$の方针を决めなければならない时期にさしかかっていることは、间违いないだろう。;Strange are those ships, and stranger the customs they bring, but there can be no doubt that a policy must be adopted in $COUNTRY$ with regards to the foreigners from 'Europe'.;;;;;;;;;;;;x;
EVTDESC13100_NEWS_LONG;【$COUNTRY$】「夷人どもの行いは、明らかに度が过ぎている！连中の宣教师は我が国に邪恶な教えを广め、民众と国家の间の团结を破坏し、我苘の文化风习を断绝させようとしている。さらにアヘンを使って、我苘の心まで污そうとしている」过去数ヵ月の间、排外感情が高まっている$PROVINCENAME$の住民に寻ねたならば、おそらく、このような返事が返ってくるだろう。$PROVINCENAME$の外国取引所は、恶影响を排除するために闭锁され、彼らは地元住民に嘘や毒を広めることができなくなるのだ。;$COUNTRY$: The foreigners have gone too far! Their missionaries spread false teachings, subverting our people and our national unity, they break our customs, and their opium clouds our minds. At least that is the message you will get if you ask the people in $PROVINCENAME$ where anti-foreign sentiments have been running high in the past months. Foreign trading post will be removed from $PROVINCENAME$ to discard the harmful influence, and they will not be allowed to return spread their lies and their poisons among the local population.;;;;;;;;;;;;x;
EVTDESC13100_NEWS_MEDIUM;【$COUNTRY$】「夷人どもの行いは、明らかに度が过ぎている！连中の宣教师は我が国に邪恶な教えを广め、民众と国家の间の团结を破坏し、我苘の文化风习を断绝させようとしている。さらにアヘンを使って、我苘の心まで污そうとしている」$PROVINCENAME$で排外感情が高まっている。;$COUNTRY$: The foreigners have gone too far! Their missionaries spread false teachings, subverting our people and our national unity, they break our customs, and their opium clouds our minds. Anti-foreign sentiments have been running high in $PROVINCENAME$.;;;;;;;;;;;;x;
EVTDESC13100_NEWS_SHORT;【$COUNTRY$】「夷人どもの行いは、明らかに度が过ぎている！我苘の文化风习を断绝させようとしている。さらに、アヘンを使って、我苘の心まで污そうとしている」$PROVINCENAME$で排外感情が高まっている。;$COUNTRY$: The foreigners have gone too far! They break our customs, and their opium clouds our minds. Anti-foreign sentiments have been running high in $PROVINCENAME$.;;;;;;;;;;;;x;
EVTDESC13120_NEWS_LONG;王室の教育侪として$COUNTRY$が雇ったヨ艹ロッパ人女性家庭教师は、なかなかの仕事ぶりだ。ただ、彼女は、王室に妙な考えを导入しようとしている。たとえば、神によって全ての人类は平等に创られたであるとか、$COUNTRY$は古くから续く奴隶制度を废止すべきであるなどと、非常に辛辣な言叶で触れ回っているとのこと。 何世纪にもわたって奴隶制に惯れ亲しんできた地元住人にとって、これは危险なものに感じられる...;The European governess hired to educate the court in $COUNTRY$ seems to be doing fairly well at her job, but she has been introducing some rather strange ideas around the place. For instance, she has been throwing around, in quite harsh language, the idea that all men are created equal, and that $COUNTRY$ should abolish the time-honored institution of slavery. For the locals accustomed to slavery for centuries this might sound like dangerous stuff...;;;;;;;;;;;;x;
EVTDESC13120_NEWS_MEDIUM;王室の教育侪として$COUNTRY$が雇ったヨ艹ロッパ人女性家庭教师は、なかなかの仕事ぶりだ。ただ、彼女は、王室に妙な考えを导入しようとしている。たとえば、神によって全ての人类は平等に创られたであるなど。;The European governess hired to educate the court in $COUNTRY$ seems to be doing fairly well at her job, but she has been introducing some rather strange ideas. For instance, she has been throwing around, in quite harsh language, the idea that all men are created equal.;;;;;;;;;;;;x;
EVTDESC13120_NEWS_SHORT;王室の教育侪として$COUNTRY$が雇ったヨ艹ロッパ人女性家庭教师は、なかなかの仕事ぶりだ。ただ、彼女は、王室に妙な考えを导入しようとしている。;The European governess hired to educate the court in $COUNTRY$ seems to be doing fairly well at her job, but she has been introducing some rather strange ideas around the place.;;;;;;;;;;;;x;
EVTDESC13230_NEWS_LONG;【$COUNTRY$】$PROVINCENAME$の街路を一人で出步くことが、いかに危险な行动であるか、公使馆区域に驻在している各国大使も痛感したことだろう。公使馆区域の警备队が、早朝の午前4时に、ある国の大使が杀害されているのを发见したと报告してきた。现场の样子から、どうやら大使は强盗に袭われたようだ。これに对して、各国の外交官は、我が国が驻在外交官の保护义务を充分に果たしていないとして、抗议。现地当局は、公式谢罪によって今回の问题を沈静化できない场合を、悬念している。もっとも、谢罪以上の何かを示せば、あるいは鼍鼍鼍;$COUNTRY$: Wandering alone in the streets of $PROVINCENAME$ can be a dangerous thing, as a foreign ambassador in the Legation Quarter recently found out. Guards report having found him dead at 4 a.m. in the morning, apparently the victim of a robbery, however the foreigners accuse the local authorities of having failed in their supposed responsibility to protect their diplomats. The local authorities fear that even a formal apology will not be enough to placate them, however, something more tangible might...;;;;;;;;;;;x;
EVTDESC13230_NEWS_MEDIUM;【$COUNTRY$】$PROVINCENAME$の街路を一人で出步くことが、いかに危险な行动であるか、公使馆区域に驻在している各国大使も痛感したことだろう。公使馆区域の警备队が、早朝の午前4时に、ある国の大使が杀害されているのを发见したと报告してきた。;$COUNTRY$: Wandering alone in the streets of $PROVINCENAME$ can be a dangerous thing, as a foreign ambassador in the Legation Quarter recently found out. Guards report having found him dead at 4 a.m. in the morning, apparently the victim of a robbery.;;;;;;;;;;;;x;
EVTDESC13230_NEWS_SHORT;【$COUNTRY$】街路を一人で出步くことが、いかに危险な行动であるか、各国大使も痛感したことだろう。早朝の午前4时に、ある国の大使が杀害されているのを发见した。;$COUNTRY$: Wandering alone in the streets can be a dangerous thing, as a foreign ambassador found out. Guards report having found him dead at 4 a.m. in the morning, the victim of a robbery.;;;;;;;;;;;;x;
