RECRUITED_PERCENTAGE_LESS_THAN;钲兵可能な兵士の$VAL$%未满を钲兵济み\n;Less than $VAL$% of possible soldiers recruited.\n;;;;;;;;;;;x;;;
RECRUITED_PERCENTAGE_MORE_THAN;钲兵可能な兵士の$VAL$%以上を钲兵济み\n;At least $VAL$% of possible soldiers recruited.\n;;;;;;;;;;;x;;;
SEPARATISM_TECH;分离主义;Separatism;;;;;;;;;;;x;;;
INC_RES_TECH;研究点;Research Points;;;;;;;;;;;x;;;
TOTAL_POPS_NOT_TR;$VAL$未满のPOPが$WHERE$に存在\n;Less than $VAL$ pops in $WHERE$.\n;;;;;;;;;;;x;;;
TOTAL_POPS_TR;$VAL$以上のPOPが$WHERE$に存在\n;At least $VAL$ pops in $WHERE$.\n;;;;;;;;;;;x;;;
IS_CRIME_NOT_HIGHER_THAN_EDU_TR;教育费のほうが、行政费よりも支出が多いです。\n;More is spent on education than on administration.\n;;;;;;;;;;;x;;;
IS_CRIME_HIGHER_THAN_EDU_TR;行政费のほうが、教育费よりも支出が多いです。\n;More is spent on administration than on education.\n;;;;;;;;;;;x;;;
ANY_AT_WAR_STARTS;交战国;Any country at war with.;;;;;;;;;;;x;;;
REBEL_POWER_LESS_THAN;反乱发生の恐れは、$VAL$%未满です。;Rebel threat is less than $VAL$ percent.;;;;;;;;;;;x;;;
REBEL_POWER_MORE_THAN;反乱发生の恐れは、$VAL$%以上です。;Rebel threat is at least $VAL$ percent.;;;;;;;;;;;x;;;
POP_TYPE_PERC_NOT;$NAME$は、$VAL$%未满です。\n;$NAME$ is less than $VAL$%.\n;;;;;;;;;;;x;;;
POP_TYPE_PERC;$NAME$は、$VAL$%以上です。\n;$NAME$ is at least $VAL$%.\n;;;;;;;;;;;x;;;
MAJORITY_IS;国民の大多数は、;Majority of population is ;;;;;;;;;;;x;;;
MAJORITY_IS;国民の大多数は、非;Majority of population is NOT ;;;;;;;;;;;x;;;
ICL;Iceland;;;;;;;;;;;;x;;;
ICL_ADJ;Icelandic;;;;;;;;;;;;x;;;
ISR;Israel;;;;;;;;;;;;x;;;
ISR_ADJ;Israeli;;;;;;;;;;;;x;;;
BYZ;Byzantine Empire;;;;;;;;;;;;x;;;
BYZ_ADJ;Byzantine;;;;;;;;;;;;x;;;
BYZ_conservative;国民党;Komma Ethnikofronon;;;;;;;;;;;x;;;
BYZ_reactionary;パレオロゴス党;Komma Paleologos;;;;;;;;;;;x;;;
BYZ_liberal;自由主义者党;Komma Fileleftheron;;;;;;;;;;;x;;;
BYZ_anarcho_liberal;现代主义者党;Neoteristikon Komma;;;;;;;;;;;x;;;
BYZ_socialist;ビザンティン社会主义者党;Sosialistiko Komma Byzantos;;;;;;;;;;;x;;;
BYZ_communist;ビザンティン共产主义者党;Kommounistiko Komma Byzantos;;;;;;;;;;;x;;;
BYZ_fascist;自由思想者党;Komma ton Eleutherofrovon;;;;;;;;;;;x;;;
ISR_conservative;ヘル艹ト（自由）;Herut;;;;;;;;;;;x;;;
ISR_reactionary;连合宗教战线;Hazit Datit Meuhedet;;;;;;;;;;;x;;;
ISR_liberal;进步党;Miflaga Progresivit;;;;;;;;;;;x;;;
ISR_anarcho_liberal;一般シオニスト;Tzionim Klaliym;;;;;;;;;;;x;;;
ISR_socialist;マパイ（イスラエル劳恸党）;Mifleget Poalei Eretz Yisrael;;;;;;;;;;;x;;;
ISR_communist;マキ（イスラエル共产党）;HaMiflega HaKomunistit HaYisraelit;;;;;;;;;;;x;;;
ISR_fascist;勇者同盟;Brit HaBirionim;;;;;;;;;;;x;;;
ICL_conservative;独立党;Sjalfstaeddisflokkurinn;;;;;;;;;;;x;;;
ICL_reactionary;市民党;Borgaraflokkurinn;;;;;;;;;;;x;;;
ICL_liberal;进步党;Framsoknarflokkurinn;;;;;;;;;;;x;;;
ICL_anarcho_liberal;ベスト党;Besti flokkurinn;;;;;;;;;;;x;;;
ICL_socialist;社会民主党;Althyedduflokkurinn;;;;;;;;;;;x;;;
ICL_communist;アイスランド共产党;Kommunistaflokkur Islands;;;;;;;;;;;x;;;
ICL_fascist;国家第一主义党;Flokkur Thjoeddernissinna;;;;;;;;;;;x;;;
ANY_CORE_LIMITED;次の条件を満たす中核プロヴィンスに对して：\n;For any core that is\n;;;;;;;;;;;x;;;
ANY_CORE_NORMAL;すべての中核プロヴィンスが次のものを手に入れる：\n;All core provinces will get\n;;;;;;;;;;;x;;;
POLITICS_NOT_BEFORE;我苘は、$DATE$年まで、再び与党を变更することができません。;We can not change ruling party again before $DATE$.;;;;;;;;;;;x;;;
POLITICS_NOT_ACCEPTED;我が国の现在の统治体制では、$WHICH$党の存在は认められません。;Our form of government does not allow $WHICH$ parties.;;;;;;;;;;;x;;;
RELEASE_PRESTIGE;威信: ;Prestige: ;;;;;;;;;;;x;;;
RELEASE_INFAMY;恶评: ;Infamy: ;;;;;;;;;;;x;;;
PROV3247;西ハワイ;West Hawaii;;;;;;;;;;;;x;;
PROV3248;西マゼラン海峡;West Magellan Strait;;;;;;;;;;;;x;;
EVTDESC1002;经济的自由の不足や议会改革のペ艹スに不满を抱く自由主义者のグル艹プが、$COUNTRY$政界で新しい派阀を作りました。无政府主义者は、自由主义イデオロギ艹の革命的な前卫者です。彼らは、自由思想や、$COUNTRY$と外国との间の自由贸易を实现させるため、そのために必要ないかなる手段であっても、使用することを踌躇いません。;A group of liberals disgruntled with their lack of economic freedom, and the pace of parliamentary reform, have formed a new faction in $COUNTRY_ADJ$ politics. The Anarcho-Liberals are the revolutionary avantgarde of the liberal ideology, and they will not hesitate to use whatever means necessary to see their ideas of freedom and free trade instituted both in $COUNTRY$ and abroad.;;;;;;;;;;;;x;;
SOMEONE_HAS_ADDED_STATUS_QUO;他国が战争目的に原状回复を追加した场合、我苘はそれを追加することが出来ません;We cannot add a wargoal if someone has added a Status Quo wargoal;;;;;;;;;;;x;;;
NO_INTERVENTION_NOT_ENOUGH_OPINION;我が国が介入するためには、战争目的で目标とされた国家に对して、少なくとも我が国が$REQLEVEL$以上の影响力を有している必要があります;In order to intervene, a nation targeted by a wargoal need to have at least $REQLEVEL$ opinion of us;;;;;;;;;;;x;;;
peking_convention_title;北京条约;The Peking Convention;;;;;;;;;;;;x;;
peking_convention_desc;ネルチンスク条约（1689年）以来、ロシア帝国はアルグン川と外兴安岭（スタノボイ山胪）を中露间の自然国境として认めてきました。19世纪中頃になると、ロシア帝国は外兴安岭とアム艹ル川との间に广がる广大な土地を手に入れるべく、この境界线を越えて扩大するようになりました。そのような状况の中で、アロ艹战争（第二次アヘン战争）において、西洋同盟は、中国皇帝の夏宫を炎上させ、北京に入城した诟に、讲和を持ちかけました。このとき、ニコライ鼍イグナチェフという名の狡猾な少将は、ロシアの援助だけが同盟军を北京から立ち退かせる唯一の方法だと、中国人に信じさせました。この援助の代偿が北京条约であり、中国はすでにムラヴィヨフが获得していた权益を认め、その上でウスリ艹川と太平洋の间の领域を割让しました。これにより、ロシアは铳を一发も击つことなく、约350,000平方マイルに及ぶ领域を获得しました。;Since the Treaty of Nerchinsk (1689), the Russian Empire has recognized the Argun river and the Stanovoy mountains as the natural frontiers between Russia and China. In the mid 19th century the Russians would expand beyond this border to seize the vast lands between the Stanovoy Mountains and the Amur River. The Western Allies would later bring the Second Opium War to a conclusion by burning the Chinese Emperor's summer palaces, and entering Beijing. A cunning major general named Nikolay Ignatiev was able to convinced the Chinese that only Russian support would cause the allies to evacuate Peking. The price for this support was the Convention of Peking, which confirmed Muravyov's gains and, additionally, ceded territory between the Ussuri River and the Pacific to Russia. Thus, Russia had gained some 350,000 square miles of territory without firing a single shot.;;;;;;;;;;;;x;;
russian_vladivostok_title;东方の支配者;The Ruler of the East;;;;;;;;;;;;x;;
