GIVE_UNIT_COMMAND_BUTTON;ユニットを指挥;Command Units;;;;;;;;;x
GIVE_UNIT_COMMANDTITLE;ユニットを指挥;Command Units;;;;;;;;;x
GIVE_UNIT_COMMAND_DESC;战争を共に行う时、宗主国は傀儡国ユニットの指挥をとることができる。;While fighting a war together, a puppet's overlord may take command of their units.;;;;;;;;;x
GIVE_UNIT_COMMAND_OK;Ask your puppet to take back command over their own units.;;;;;;;;;;x
GIVE_UNIT_COMMAND_CANT_CONTROL;我が国が战争を共に行う时のみ、傀儡国ユニットの指挥をとることができる。;You can command units of your puppets? only when you are fighting in a war together.;;;;;;;;;x
GIVE_UNIT_COMMAND_ALREADY_CONTROL;我が国はすでに彼らのユニットを指挥しています。;You are already in command of their units.;;;;;;;;;x
CANCEL_UNIT_COMMAND_BUTTON;ユニットを返还;Give Back Units;;;;;;;;;x
CANCEL_UNIT_COMMANDTITLE;ユニットを返还;Give Back Units;;;;;;;;;x
CANCEL_UNIT_COMMAND_DESC;ユニットを返还;Give Back Units;;;;;;;;;x
CANCEL_UNIT_COMMAND_OK;彼らのユニットを返还します。;Give them back their units.;;;;;;;;;x
CANCEL_UNIT_COMMAND_NOT_IN_CONTROL;You are not in command of this unit.;;;;;;;;;;x
cut_down_to_size_boxer_setup;反乱势力义和团の犯罪に对し、清に支扪いを强制する。;Force China to pay for the crimes of the Boxer rebels.;;;;;;;;;x
cut_down_to_size_boxer_short;清に义和团の犯罪に对する支扪いを强制する。;Force China to pay for the Boxer's crimes.;;;;;;;;;x
LACK_OF_MAINTENANCE_GOODS;补修物资の不足;Lack of maintenance goods;;;;;;;;;x
AIREASON_TOO_MANY_CRISIS_WARGOALS;战争目的を加えた;Added Wargoals;;;;;;;;;x
AIREASON_NOT_OVERLORD;我が国の宗主国ではない;Not my Overlord;;;;;;;;;x
EVTNAME36230;シロクマの购入;The Polar Bear Purchase;;;;;;;;;x
EVTDESC36230;ヤン鼍マイエンは、我が国の全てのシロクマを良い价格で购入することを提案しています。彼らはそのような雄大な生き物には丁重に尊严を持って扱うことを约束しています。;Jan Mayen is offering to buy all our polar bears at a good price. They promise they will treat them with the care and dignity afforded to such majestic creatures.;;;;;;;;;x
EVTOPTA36230;OK!;Okay!;;;;;;;;;x
EVTOPTB36230;とんでもない！;Never!;;;;;;;;;x
EVTNAME36231;シロクマの购入 - デンマ艹クは承诺;The Polar Bear Purchase - Denmark Accepts;;;;;;;;;x
EVTDESC36231;デンマ艹クは我苘への全シロクマ卖却に同意しました。;Denmark has agreed to sell us all of their Polar Bears.;;;;;;;;;x
EVTOPTA36231;素晴らしい！;Great!;;;;;;;;;x
EVTNAME36232;シロクマの购入 - デンマ艹クは拒否;The Polar Bear Purchase - Denmark Refuses;;;;;;;;;x
EVTDESC36232;デンマ艹クは我苘への全シロクマ卖却を拒否しています。;Denmark has refused to sell us their Polar Bears.;;;;;;;;;x
EVTOPTA36232;なんてこった！;Oh no!;;;;;;;;;x
the_greenland_purchase_title;シロクマの购入;The Polar Bear Purchase;;;;;;;;x
the_greenland_purchase_desc;It has long been a troubling fact to the great people of Jan Mayen that all the world's polar bears are not unified under one flag. We should approach Denmark and see if they are willing to part with theirs.;;;;;;;;;;x
bears;クマ;Bears;;;;;;;;;x
polar_bears;シロクマ;Polar Bears;;;;;;;;;x
INFLUENCE_SPHERE_NEIGHBOUR;邻接している势力囵の国;Neighbouring sphere member;;;;;;;;;x
col_liferate_techs;以下を研究することにより、现地の生活水准に对应するのに役立ちます:;Researching the following will help deal with the local life rating:;;;;;;;;;x
unite_moldavia_wallachia_title;モルダヴィア鼍ワラキア连合！;Union of Moldavia and Wallachia!;;;;;;;;;x
